name;count
JACK;663
MARAT;663
DAGNA;663
POLIKARP;662
REINHARD;662
JASON;660
BOZHENA;660
ELMIRA;660
IURIE;659
MUHAMMED;659
WINCENT;659
NELL;659
LEVANI;657
GNIEWKO;656
NIKOLAI;656
ORYNA;653
SAMIRA;649
MICHEL;648
MARTHA;648
OMER;646
ARIANNA;646
JOHANNES;645
MEDARD;643
VALERIU;642
ROZA;641
MATSVEI;638
NICO;638
VIVIEN;638
CHRYSTIAN;637
JESSIKA;635
OXANA;633
DAMAZY;631
HARRY;629
LORENZO;625
BIBIANNA;625
CASPER;624
STEPHEN;623
VASIL;623
MATILDA;621
EVGENII;620
MIKE;619
HERTA;618
MARGARYTA;618
DAVIDE;614
ARIADNA;614
CHRISTINA;614
NIKOLINA;613
GLEB;612
ANIA;612
ARKADII;611
MIRANDA;610
RADOSŁAWA;609
ELIAS;607
SHOTA;606
AIDA;604
PATRIK;602
YEVGEN;602
STANISLAVA;599
ARSENI;598
ARTIOM;598
FRANEK;598
ANGELICA;598
KATHARINA;598
TEREZA;598
MIŁOSŁAWA;597
NIKO;596
ALISHER;595
MATEO;595
GAIA;595
CEZARIUSZ;593
ROZWITA;593
YAKIV;591
WALTRAUDA;591
PARASKIEWIA;590
RAYAN;589
MARY;588
LESYA;584
MIROSLAVA;584
DANILA;583
JASMINE;583
EMRE;582
GOTFRYD;579
KOBA;579
MARIETA;579
PAATA;575
ROBIN;575
ALBERTYNA;574
YUSTYNA;571
BEN;569
CHRISTINE;568
ALEVTYNA;567
GUSTAVO;565
NEONILA;564
JURIJ;563
CHLOE;562
ANATOLIE;561
ANICETA;561
TATYANA;561
LEW;560
ÖMER;560
DELFINA;560
DITER;559
MARIUS;559
SATURNIN;559
DOBROMIŁA;558
IRMGARD;558
IZOLDA;558
KAREN;556
MARGARET;556
WIEŃCZYSŁAW;555
ELIANA;555
ABDULLAH;554
INGRIDA;554
NIKOLAY;553
ECATERINA;553
WŁODZIMIERA;547
MARIJA;545
LUKIAN;544
ELVIN;541
VALERI;541
OLIVIIA;541
MAKARY;539
MARCELO;539
ALON;538
CHIARA;536
ARMAN;535
SYLWERIUSZ;535
AMIRA;535
HILDA;535
RYMMA;535
VYACHESLAV;534
IRENE;534
DIONIZA;533
LUCY;533
DIMITRI;532
ILZA;532
JURAND;531
LUBOW;530
OLEKSANDER;529
NIKOLETA;529
ILLYA;528
WERA;528
BASTIAN;527
AMY;527
ISABELLE;526
ANDRÉ;525
NASTIA;525
ERICH;523
HALSZKA;523
AVTANDIL;522
RAJNARD;522
YEGOR;522
LUKRECJA;522
ISABEL;521
HORDII;520
ANDRIAN;519
GIA;519
BRANDON;518
MICHELE;518
YEVANHELINA;517
YOSYP;516
JACQUELINE;516
EMIR;514
FRANCESCA;514
LEYLA;514
LUISA;514
ARTEMII;513
JONAS;512
RAUL;512
JESUS;511
MODEST;511
GREGORY;510
EDMUNDA;510
MALKHAZ;509
NANA;509
KRZESIMIR;508
REHINA;508
GÜNTER;506
SHALVA;506
PAOLO;505
VENIAMIN;505
MARTYN;502
GUSTAWA;502
HIACYNTA;500
STEPHANIE;500
WIELISŁAWA;499
WALBURGA;498
GEORGIOS;496
IEVGENII;496
ROY;496
TEMUR;495
TYCJAN;494
DAIANA;494
IDO;493
PHILIPPE;493
FILIPINA;493
YUVAL;492
YASMIN;492
WAWRZYN;491
RACHEL;490
JAROSLAV;489
JOSÉ;489
VIOREL;489
FRYDA;489
HLIEB;488
SEAN;488
VALERIYA;486
WITALIJ;485
AURELA;484
HELIODOR;481
WINICJUSZ;481
RODRIGO;479
TOMÁŠ;479
IZYDORA;478
MADINA;478
PAOLA;478
JOHANNA;477
ROSE;475
FELIPE;474
ZURABI;474
JANISŁAW;472
